LR;SV_RAW;SV;DIST;SERIES
0,057;9116;9066;2;at noozle
0,057;7556;7506;2;at noozle
0,057;7184;7134;2;at noozle
0,057;6979;6929;2;at noozle
0,057;7636;7586;2;at noozle
0,057;5841;5791;2;at noozle
0,057;5888;5838;2;at noozle
0,057;5608;5558;2;at noozle
0,057;5226;5176;2;at noozle
0,057;5208;5158;2;at noozle
0,057;5158;5108;2;at noozle
0,057;5143;5093;2;at noozle
0,057;5832;5782;2;at noozle
0,057;7472;7422;2;at noozle
0,057;7143;7093;2;at noozle
0,057;7333;7283;2;at noozle
0,057;6396;6346;2;at noozle
0,057;5125;5075;2;at noozle
0,057;5250;5200;2;at noozle
0,057;5246;5196;2;at noozle
0,057;5053;5003;2;at noozle
0,057;5601;5551;2;at noozle
0,057;5746;5696;2;at noozle
0,057;6787;6737;2;at noozle
0,057;6769;6719;2;at noozle
0,057;5956;5906;2;at noozle
0,057;5471;5421;2;at noozle
0,057;5943;5893;2;at noozle
0,057;5614;5564;2;at noozle
0,057;5165;5115;2;at noozle
0,057;5399;5349;2;at noozle
0,057;5369;5319;2;at noozle
0,057;5634;5584;2;at noozle
0,057;5957;5907;2;at noozle
0,057;6476;6426;2;at noozle
0,057;7100;7050;2;at noozle
0,057;7708;7658;2;at noozle
0,057;8923;8873;2;at noozle
0,057;10557;10507;2;at noozle
0,057;10671;10621;2;at noozle
0,057;10701;10651;2;at noozle
0,057;11158;11108;2;at noozle
0,057;11259;11209;2;at noozle
0,057;11214;11164;2;at noozle
0,057;11447;11397;2;at noozle
0,0784;5883;5833;2;at noozle
0,0784;6503;6453;2;at noozle
0,0784;7539;7489;2;at noozle
0,0784;7758;7708;2;at noozle
0,0784;7736;7686;2;at noozle
0,0784;8303;8253;2;at noozle
0,0784;8693;8643;2;at noozle
0,0784;9799;9749;2;at noozle
0,0784;9130;9080;2;at noozle
0,0784;9696;9646;2;at noozle
0,0784;8826;8776;2;at noozle
0,0784;9048;8998;2;at noozle
0,0784;8987;8937;2;at noozle
0,0784;8908;8858;2;at noozle
0,0784;8177;8127;2;at noozle
0,0784;7420;7370;2;at noozle
0,0784;7712;7662;2;at noozle
0,0784;6588;6538;2;at noozle
0,0784;4948;4898;2;at noozle
0,0784;5197;5147;2;at noozle
0,0784;4498;4448;2;at noozle
0,0784;4494;4444;2;at noozle
0,0784;4439;4389;2;at noozle
0,0784;4367;4317;2;at noozle
0,0784;4531;4481;2;at noozle
0,0784;4466;4416;2;at noozle
0,0784;4742;4692;2;at noozle
0,0784;4602;4552;2;at noozle
0,0784;4538;4488;2;at noozle
0,0784;4580;4530;2;at noozle
0,0784;4751;4701;2;at noozle
0,0784;4788;4738;2;at noozle
0,0784;4868;4818;2;at noozle
0,0784;5667;5617;2;at noozle
0,0784;6512;6462;2;at noozle
0,0784;8346;8296;2;at noozle
0,0784;8362;8312;2;at noozle
0,0784;9713;9663;2;at noozle
0,0784;12465;12415;2;at noozle
0,0784;12048;11998;2;at noozle
0,0784;11776;11726;2;at noozle
0,0784;10893;10843;2;at noozle
0,0784;9808;9758;2;at noozle
0,0784;8865;8815;2;at noozle
0,0784;7070;7020;2;at noozle
0,0784;6676;6626;2;at noozle
0,0784;8399;8349;2;at noozle
0,0784;9252;9202;2;at noozle
0,0784;9546;9496;2;at noozle
0,0784;10126;10076;2;at noozle
0,0784;9931;9881;2;at noozle
0,0784;9888;9838;2;at noozle
0,0784;11122;11072;2;at noozle
0,0784;11717;11667;2;at noozle
0,0784;9792;9742;2;at noozle
0,0784;9938;9888;2;at noozle
0,0784;9612;9562;2;at noozle
0,0784;8456;8406;2;at noozle
0,0784;9397;9347;2;at noozle
0,0784;11462;11412;2;at noozle
0,0784;10777;10727;2;at noozle
0,0784;9513;9463;2;at noozle
0,0784;8952;8902;2;at noozle
0,0784;8182;8132;2;at noozle
0,0784;8143;8093;2;at noozle
0,0784;9022;8972;2;at noozle
0,0784;9758;9708;2;at noozle
0,0784;9882;9832;2;at noozle
0,0784;7540;7490;2;at noozle
0,0784;7110;7060;2;at noozle
0,0784;6958;6908;2;at noozle
0,0784;5824;5774;2;at noozle
0,0784;6196;6146;2;at noozle
0,0784;5962;5912;2;at noozle
0,0784;6920;6870;2;at noozle
0,0784;7400;7350;2;at noozle
0,0784;6819;6769;2;at noozle
0,0784;7238;7188;2;at noozle
0,0784;7131;7081;2;at noozle
0,0784;6500;6450;2;at noozle
0,0784;7568;7518;2;at noozle
0,0784;7809;7759;2;at noozle
0,0784;9059;9009;2;at noozle
0,0784;9527;9477;2;at noozle
0,0784;9342;9292;2;at noozle
0,0784;9272;9222;2;at noozle
0,0784;10297;10247;2;at noozle
0,0784;9066;9016;2;at noozle
0,0784;7058;7008;2;at noozle
0,0784;7339;7289;2;at noozle
0,0784;8049;7999;2;at noozle
0,0784;8029;7979;2;at noozle
0,0784;8813;8763;2;at noozle
0,0784;9321;9271;2;at noozle
0,0784;8332;8282;2;at noozle
0,0784;7542;7492;2;at noozle
0,0784;7377;7327;2;at noozle
0,0784;6823;6773;2;at noozle
0,0784;7149;7099;2;at noozle
0,0784;7950;7900;2;at noozle
0,0784;7436;7386;2;at noozle
0,0784;8891;8841;2;at noozle
0,0784;7722;7672;2;at noozle
0,0784;7064;7014;2;at noozle
0,0784;6442;6392;2;at noozle
0;196;196;4;at noozle
0,0144;5334;5135;4;at noozle
0,0144;6709;6510;4;at noozle
0,0144;6909;6710;4;at noozle
0,0144;7026;6827;4;at noozle
0,0144;7380;7181;4;at noozle
0,0144;6409;6210;4;at noozle
0,0144;6905;6706;4;at noozle
0,0144;5523;5324;4;at noozle
0,0144;4318;4119;4;at noozle
0,0144;3086;2887;4;at noozle
0,0144;3232;3033;4;at noozle
0,0144;3196;2997;4;at noozle
0,0144;3439;3240;4;at noozle
0,0144;2874;2675;4;at noozle
0,0144;2679;2480;4;at noozle
0,0144;2735;2536;4;at noozle
0,0144;2755;2556;4;at noozle
0,0144;3050;2851;4;at noozle
0,0144;2942;2743;4;at noozle
0,0144;2982;2783;4;at noozle
0,0144;2670;2471;4;at noozle
0,0144;2878;2679;4;at noozle
0,0144;2926;2727;4;at noozle
0,0144;2612;2413;4;at noozle
0,0144;1986;1787;4;at noozle
0,0144;1827;1628;4;at noozle
0,0144;1727;1528;4;at noozle
0,0144;1760;1561;4;at noozle
0,0144;1512;1313;4;at noozle
0,0144;1470;1271;4;at noozle
0,0144;1535;1336;4;at noozle
0,0144;1441;1242;4;at noozle
0,0144;1453;1254;4;at noozle
0,0144;1487;1288;4;at noozle
0,0144;1632;1433;4;at noozle
0,0144;1761;1562;4;at noozle
0,0144;1636;1437;4;at noozle
0,0144;1660;1461;4;at noozle
0,0144;1729;1530;4;at noozle
0,0144;1746;1547;4;at noozle
0,0144;1688;1489;4;at noozle
0,0144;1669;1470;4;at noozle
0,0144;1811;1612;4;at noozle
0,0144;1920;1721;4;at noozle
0,0144;1914;1715;4;at noozle
0,0144;1915;1716;4;at noozle
0,0144;1833;1634;4;at noozle
0,0144;1753;1554;4;at noozle
0,0144;1606;1407;4;at noozle
0,0144;1519;1320;4;at noozle
0,0144;1424;1225;4;at noozle
0,0144;1718;1519;4;at noozle
0,0144;1967;1768;4;at noozle
0,0144;1927;1728;4;at noozle
0,0144;1824;1625;4;at noozle
0,0144;1632;1433;4;at noozle
0,0144;1601;1402;4;at noozle
0,0144;1627;1428;4;at noozle
0,0144;1696;1497;4;at noozle
0,0144;1746;1547;4;at noozle
0,0144;1905;1706;4;at noozle
0,0144;2030;1831;4;at noozle
0,0144;1971;1772;4;at noozle
0,0144;1956;1757;4;at noozle
0,0144;1877;1678;4;at noozle
0,0144;1978;1779;4;at noozle
0,0144;2002;1803;4;at noozle
