LR;SV;DIST
4;4952;4
4;4837;4
4;4751;4
4;4562;4
4;4743;4
4;4516;4
4;5463;4
4;6169;4
4;5533;4
4;5463;4
4;5743;4
4;5821;4
4;4964;4
4;4900;4
4;5779;4
4;6281;4
4;6072;4
4;6404;4
4;5647;4
4;5978;4
4;6336;4
4;6456;4
4;5420;4
4;5688;4
4;5977;4
4;5107;4
4;5004;4
4;4270;4
4;4262;4
4;4766;4
4;5332;4
4;5497;4
4;6242;4
4;5835;4
4;4570;4
4;5340;4
4;5349;4
4;4202;4
4;4129;4
4;4451;4
4;4247;4
4;4774;4
4;4676;4
4;4874;4
4;4058;4
4;3500;4
4;3842;4
4;4558;4
4;5392;4
4;4754;4
4;4129;4
4;4126;4
4;4357;4
4;4359;4
4;3946;4
4;3847;4
4;4263;4
4;4154;4
4;3842;4
4;3765;4
4;4205;4
4;4681;4
4;5598;4
4;5922;4
4;5919;4
4;5848;4
4;6101;4
